PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
25,0,1,0,1,1,0,Y,1.0,1.0,N,hochoa@example.net,514.7,0.0,1,0,0,0,0,0,0,0.0,0,Y,N,0,0.0,0,0,0,0,1,N,0,0
10,0,1,0,2,1,0,Y,1.0,5.0,N,timothy98@example.com,972.64,2.37,0,0,0,0,0,1,1,46071.29,0,N,N,0,1.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,N,2.0,1.0,N,oraymond@example.net,692.03,0.0,0,0,0,0,0,0,0,0.0,0,Y,Y,0,2.0,0,0,0,0,2,N,0,1
15,0,1,0,1,0,0,Y,1.0,1.0,N,michelle39@example.org,608.13,0.0,0,0,0,0,0,1,1,16.94,1,Y,N,0,1.0,0,0,0,0,1,N,0,0
15,0,1,0,2,1,0,Y,1.0,4.0,N,makaylaholt@example.org,476.47,1.2,0,0,0,0,0,0,0,29.37,0,Y,N,0,5.0,0,0,0,0,1,N,1,0
10,0,1,0,1,0,0,Y,1.0,4.0,N,nortonjon@example.org,526.87,0.0,0,0,0,0,0,0,0,1.72,0,N,N,0,4.0,0,0,0,0,1,N,1,0
10,0,1,1,1,0,0,Y,1.0,6.0,N,alexandriawilliams@example.org,459.73,2.15,0,0,0,0,0,0,0,0.0,0,Y,N,0,0.0,0,0,0,0,2,N,0,0
10,0,1,1,1,0,0,Y,1.0,2.0,N,charles87@example.com,436.01,0.0,0,0,0,0,0,1,1,37.17,1,Y,N,0,1.0,0,0,0,0,1,N,1,0
15,0,1,1,2,0,0,Y,1.0,1.0,N,susan65@example.com,623.28,0.0,0,0,0,0,0,1,1,0.0,1,Y,N,0,4.0,0,0,0,0,1,N,1,1
10,0,1,0,1,0,0,N,1.0,11.0,N,donaldwalsh@example.com,348.83,0.17,0,0,0,0,0,0,0,0.0,0,Y,N,0,5.0,0,0,0,0,1,N,0,0
