Age,Language,Sex,Marital,Has-Credit,Field,Month-of-birth,Day-of-birth,Region,Number_of_credits,Linked-cards,INPS_mln_sum,INPS-yes-no,Score-level,Score-class,Score_point,Changed-phone-number,class-label
0,2,1,5,1,11,3,1,6,2,4,3,1,0,7,43,1,0
1,2,1,2,2,11,6,1,9,2,4,3,1,4,5,50,3,1
0,1,0,6,2,20,10,1,8,1,4,2,0,1,8,60,3,1
0,1,0,1,1,3,8,2,6,2,4,2,0,4,11,50,1,0
1,2,0,3,1,10,8,2,0,2,3,3,1,4,7,31,0,1
1,1,1,2,1,19,11,1,12,2,0,2,0,2,11,-2,1,0
0,1,0,5,1,6,12,2,8,1,4,1,0,0,4,54,3,0
1,1,0,3,1,10,10,2,1,2,1,3,1,0,9,30,1,1
1,2,1,3,1,12,10,2,10,2,1,3,1,2,9,31,1,1
0,1,1,5,2,11,1,1,6,2,0,2,1,0,5,-6,0,1
1,2,1,7,2,3,8,1,10,2,4,2,1,0,10,13,0,1
0,1,0,4,2,15,3,2,2,2,0,2,1,0,10,35,1,1
1,2,1,1,1,0,1,1,12,2,1,2,0,0,5,27,0,1
0,1,0,4,2,20,3,1,6,2,0,3,1,3,6,41,0,1
1,2,1,5,1,7,7,1,12,2,3,2,0,1,10,10,2,1
1,1,0,4,1,12,3,2,8,1,4,2,1,4,0,79,0,1
0,2,1,5,2,16,9,2,0,2,1,3,0,1,0,35,3,1
1,2,1,2,2,8,12,2,5,2,4,2,1,3,7,27,3,1
1,1,0,7,2,7,4,2,1,2,4,2,1,1,8,53,2,1
1,1,1,6,2,8,11,1,9,2,1,2,1,3,6,3,2,1
0,1,0,3,1,5,6,1,2,2,2,2,1,0,10,62,3,1
0,1,0,5,1,5,10,1,6,2,3,1,1,3,6,33,2,0
1,2,0,1,1,1,10,1,1,2,4,3,0,2,0,77,2,0
1,1,1,4,1,22,4,1,13,2,0,2,1,4,10,41,2,0
1,2,0,4,2,20,2,1,13,2,2,3,1,0,8,28,3,0
1,1,1,1,2,21,3,2,8,2,1,2,1,1,9,-26,0,1
0,1,0,7,2,3,11,1,6,2,0,2,1,1,11,3,0,1
0,2,0,2,1,0,5,2,13,2,2,3,0,0,6,22,1,0
1,2,0,6,1,6,9,1,10,2,4,3,1,0,9,20,2,1
1,2,0,1,1,7,6,1,9,2,4,2,1,3,11,33,2,1
1,1,1,1,1,7,3,1,3,1,2,2,0,2,7,6,0,0
0,1,0,4,2,19,1,2,3,2,4,1,0,2,11,58,3,1
1,1,1,1,2,8,1,2,8,2,0,2,1,3,5,27,3,0
1,1,1,4,1,5,2,2,3,2,4,1,1,2,7,-5,0,1
0,1,1,5,1,11,12,1,6,1,1,4,1,4,5,17,0,1
1,1,0,7,1,19,10,2,11,1,3,3,1,0,8,65,0,0
0,2,1,1,1,3,8,2,0,1,4,2,0,0,6,71,1,1
1,1,1,3,1,21,10,1,11,1,4,3,0,0,9,61,2,0
0,2,1,7,1,16,10,1,10,2,3,1,1,0,0,65,0,1
1,1,0,4,1,3,6,1,7,1,1,3,1,0,7,110,0,0
1,1,0,6,1,18,10,1,14,1,4,3,0,4,8,105,0,1
1,1,0,6,1,8,11,1,9,2,4,2,1,1,3,45,1,0
1,2,0,2,2,17,7,1,13,2,1,2,1,0,7,92,0,1
1,2,1,5,1,18,8,2,5,2,1,4,1,0,4,140,0,1
1,1,0,4,1,7,6,1,11,2,0,2,0,3,10,85,0,1
1,1,1,2,1,18,9,1,1,2,1,2,1,0,9,103,3,1
0,1,0,4,1,10,9,2,4,1,1,3,1,0,2,80,3,1
0,1,0,5,2,16,9,1,8,2,2,2,1,3,0,84,3,1
0,1,1,5,1,18,9,1,7,2,4,3,1,0,8,75,3,1
1,1,0,4,1,18,6,1,4,2,4,3,1,0,7,87,1,1
0,2,1,6,1,14,11,2,11,1,4,2,1,2,9,90,0,0
0,1,0,5,2,15,6,1,0,2,2,1,0,0,9,64,2,0
1,1,0,4,1,22,9,2,8,2,4,3,1,0,4,79,0,1
1,1,0,5,2,13,1,1,13,2,4,3,1,3,0,135,2,1
1,1,0,4,1,2,4,2,9,1,3,2,1,4,0,73,0,1
1,1,0,5,1,22,5,1,7,2,2,3,1,0,0,90,0,0
1,1,1,4,1,16,2,1,12,1,3,2,1,0,6,42,0,0
1,1,0,4,2,12,11,1,13,1,1,3,1,1,7,111,0,0
1,1,1,7,1,13,1,2,5,1,1,1,1,0,2,50,0,0
0,1,1,4,1,11,3,2,7,2,1,1,1,0,10,75,0,1
1,1,1,5,1,0,11,2,2,2,1,4,1,0,7,112,0,1
1,1,0,4,1,0,12,1,6,2,1,2,1,0,3,91,0,1
0,1,1,4,1,7,2,2,12,2,3,3,1,0,4,143,0,1
1,1,1,6,1,18,1,1,13,2,1,2,1,0,8,58,0,1
1,1,1,4,2,22,4,1,13,2,1,1,1,2,7,83,0,1
0,1,1,6,1,0,11,1,10,1,1,2,1,2,0,59,0,0
1,1,1,4,1,16,6,2,12,2,1,2,1,1,5,165,2,1
1,1,0,4,2,21,5,1,7,2,4,3,1,0,3,140,0,1
1,1,1,5,1,13,11,1,0,1,1,2,1,0,10,137,2,1
1,1,1,5,1,17,8,2,5,1,3,3,1,0,0,117,1,0
1,1,0,4,1,13,8,1,0,2,1,2,1,0,3,122,0,1
0,1,1,6,2,7,5,2,13,2,1,2,1,0,7,49,0,1
1,1,1,4,1,4,8,2,12,2,1,2,1,0,8,130,0,1
1,1,0,6,2,7,10,2,6,2,1,1,1,2,7,110,0,1
0,1,0,6,1,8,11,1,3,2,0,1,1,0,0,24,1,1
1,1,1,4,1,0,8,1,7,2,1,2,1,0,0,107,0,1
1,1,1,4,1,15,8,2,13,2,1,2,1,3,0,38,0,1
1,1,0,4,1,13,11,1,10,2,1,2,1,0,9,63,0,1
1,1,0,4,1,18,11,1,12,2,1,3,1,0,0,56,0,1
1,1,0,4,1,20,2,1,8,1,1,4,1,0,8,78,0,1
1,1,1,3,1,0,4,1,13,2,1,1,1,0,0,60,0,1
1,1,0,4,1,1,1,1,13,2,1,3,1,0,0,97,0,1
1,1,1,4,1,13,4,1,12,2,1,0,1,0,0,55,0,1
1,1,0,4,1,16,5,2,12,2,1,2,1,2,0,85,0,1
0,1,0,4,1,16,11,2,12,1,1,3,1,0,0,40,0,1
1,1,0,4,1,13,4,1,12,2,1,2,1,0,0,39,0,1
1,1,0,4,1,13,12,1,12,1,1,3,1,0,7,85,0,1
1,1,1,5,1,13,7,2,6,2,1,2,1,3,7,55,0,1
1,1,0,4,1,13,8,2,12,1,1,3,1,0,2,78,3,1
1,1,1,4,1,16,11,2,14,2,1,2,1,0,0,128,0,1
1,1,1,4,1,11,4,1,13,1,1,1,1,3,0,78,0,1
0,2,0,7,1,11,11,2,13,1,1,1,1,0,0,47,0,1
1,1,0,5,1,10,9,1,13,2,1,2,1,0,6,34,0,1
1,1,0,6,1,0,5,2,13,2,1,3,1,0,0,14,2,1
0,1,0,6,1,7,4,2,13,1,1,2,1,0,0,99,0,1
1,1,0,4,1,7,8,1,12,2,1,3,1,0,0,149,0,1
1,1,0,5,1,13,4,1,13,2,1,3,1,0,0,128,0,1
1,1,1,4,1,0,1,1,13,2,1,0,1,0,0,37,0,1
1,1,0,4,1,0,8,1,12,2,1,2,1,0,7,26,0,1
1,1,1,4,1,7,5,2,13,2,1,2,1,0,0,-12,0,1
1,1,1,4,1,13,5,1,13,2,1,3,1,0,0,65,0,1
1,1,1,4,1,0,7,2,12,2,2,2,1,0,0,46,0,1
1,1,0,4,1,16,5,1,13,1,1,2,1,4,0,53,0,1
1,1,0,4,1,7,4,1,12,2,1,1,1,1,0,47,0,1
1,1,1,4,1,13,10,1,13,2,1,2,1,0,7,100,0,1
1,1,0,2,1,0,12,2,13,2,1,2,1,0,0,45,0,1
1,1,0,4,1,9,6,1,13,2,1,2,1,3,7,-15,0,1
1,1,0,4,1,4,5,2,13,2,1,3,1,0,7,1,0,1
1,1,0,5,1,10,4,1,12,2,1,4,1,0,7,-12,0,0
1,1,1,4,1,13,10,1,12,1,1,3,1,4,0,95,0,1
1,1,0,4,1,13,10,1,13,1,1,2,1,0,6,130,1,1
0,1,0,4,1,13,4,1,12,2,1,2,1,0,0,34,0,1
1,1,0,5,1,16,6,1,13,2,1,1,1,0,0,53,0,1
1,1,0,4,1,5,9,2,11,2,4,3,1,0,0,64,0,1
1,1,0,5,1,14,7,2,13,1,1,1,1,0,0,93,0,1
1,1,0,4,1,13,9,1,13,2,1,2,1,0,0,-30,0,1
1,1,1,4,1,11,12,2,13,1,1,1,1,3,0,10,0,1
1,1,1,4,1,13,9,2,12,2,1,1,1,3,0,-34,0,1
1,1,0,4,1,14,3,1,12,2,1,0,1,0,7,-21,0,1
1,1,0,4,1,13,9,1,13,1,1,0,1,0,0,-38,0,1
1,1,0,5,1,13,8,2,0,2,1,1,1,3,0,45,0,0
1,1,1,4,1,2,11,2,13,2,1,2,1,3,0,-63,0,1
1,1,0,4,2,10,1,1,13,1,1,1,1,3,7,67,0,1
1,1,0,4,1,16,3,1,13,2,1,2,1,0,0,13,0,1
1,1,0,7,1,11,2,1,13,2,1,2,1,0,0,-52,0,1
1,2,1,6,1,16,10,2,12,1,1,2,1,0,0,-19,0,1
1,2,0,1,1,0,3,1,12,2,1,0,1,0,0,10,0,1
1,1,0,4,1,13,1,2,12,1,1,2,1,0,8,76,0,1
1,1,1,4,1,0,1,1,12,1,1,1,1,3,0,-41,0,1
1,1,1,4,1,6,7,2,13,2,1,3,1,0,0,14,0,1
1,1,0,4,1,1,8,2,13,2,1,2,1,0,0,-55,0,0
1,1,1,4,1,13,4,1,5,2,1,2,1,0,0,67,0,1
1,2,0,4,1,16,12,2,12,1,1,1,1,3,0,82,0,1
1,1,0,5,1,13,3,1,13,2,1,2,1,0,0,22,0,1
1,2,0,6,1,16,3,2,8,1,1,3,1,0,0,81,0,1
1,1,1,4,1,13,5,2,13,2,1,1,1,0,0,-76,0,1
1,1,1,4,1,16,12,2,12,2,1,3,1,0,0,2,0,1
1,1,0,4,1,4,9,2,12,2,1,2,1,3,0,-115,0,1
1,1,1,4,1,20,4,2,12,2,1,3,1,0,0,16,0,1
1,2,0,7,1,0,2,1,13,1,1,3,1,0,0,213,0,1
1,1,1,5,1,13,2,1,13,1,1,3,1,0,0,25,0,1
1,1,1,6,1,9,7,2,7,1,1,3,1,0,0,56,0,1
1,1,1,6,1,16,9,2,13,2,1,1,1,0,11,-35,0,1
1,1,1,5,1,1,1,1,13,1,1,3,1,4,0,92,0,1
1,2,0,4,1,16,5,1,13,2,1,3,1,0,0,-83,0,1
1,1,0,4,1,1,6,1,12,2,2,3,1,0,0,-36,0,1
1,1,1,4,1,1,7,1,13,2,1,5,1,0,0,-4,0,1
0,1,0,4,1,13,12,1,13,1,1,1,1,0,6,100,0,0
1,1,1,6,2,0,2,1,12,1,1,4,1,0,0,153,0,1
1,1,1,5,1,20,3,1,0,2,1,3,1,0,0,-112,0,1
1,1,0,4,1,16,5,2,13,1,1,5,1,1,0,105,0,1
1,2,1,5,1,13,12,2,13,2,1,3,1,0,0,86,0,1
1,2,0,4,1,13,2,2,13,2,1,2,1,0,0,-14,0,1
1,1,0,4,1,21,10,2,13,1,1,1,1,0,0,25,0,1
0,1,0,5,1,14,1,2,12,1,1,2,1,4,0,216,0,1
1,1,1,4,1,13,11,1,12,2,1,2,1,0,0,110,0,0
1,1,0,1,1,13,8,1,12,2,1,2,1,0,0,29,0,1
