Age,Language,Sex,Marital,Has-Credit,Field,Month-of-birth,Day-of-birth,Region,Number_of_credits,Linked-cards,INPS_mln_sum,INPS-yes-no,Score-level,Score-class,Score_point,Changed-phone-number,class-label
1,1,0,6,2,19,1,1,0,2,1,2,1,3,0,97,0,0
1,1,1,4,1,18,3,2,13,2,1,2,1,3,0,58,0,1
1,1,0,4,1,9,12,1,14,2,4,3,0,0,0,47,0,0
1,2,1,6,1,21,11,1,13,2,3,3,1,0,0,52,0,1
1,1,0,5,1,7,6,2,10,2,1,1,0,1,10,53,1,1
1,1,1,4,1,22,12,1,11,2,0,3,1,0,0,83,3,0
1,1,1,1,1,7,3,2,2,2,0,2,1,3,11,46,2,1
1,1,0,5,1,13,12,1,12,2,2,2,1,0,0,76,0,0
1,1,1,7,1,13,12,1,14,1,3,3,1,0,0,44,0,1
1,1,1,4,1,13,2,2,13,2,1,2,0,0,9,48,0,1
1,1,1,4,1,3,2,2,14,2,2,3,0,3,8,60,0,1
0,2,0,1,1,0,6,2,13,2,3,3,1,0,0,86,0,1
1,1,1,5,1,9,8,2,7,2,1,1,0,1,6,110,1,1
1,1,0,4,1,7,2,1,12,2,0,2,1,0,8,29,0,1
1,1,1,5,1,14,6,2,8,2,2,3,0,1,0,8,0,1
0,1,1,5,1,0,10,1,13,2,3,2,1,0,10,23,0,1
1,1,0,5,1,7,1,1,1,2,1,3,1,3,7,65,0,0
1,1,0,5,2,13,10,1,1,2,4,3,0,0,0,63,0,0
1,1,1,2,1,6,1,2,5,2,3,2,0,0,0,46,0,1
1,1,1,4,1,14,3,2,2,2,2,3,0,2,8,75,2,1
1,1,1,2,2,9,12,2,1,2,1,3,0,0,0,86,2,1
1,1,0,2,1,17,1,1,4,2,1,2,1,0,7,6,0,1
1,1,0,4,1,7,12,1,6,2,0,3,1,0,0,54,1,1
1,1,0,5,1,7,10,1,13,2,2,1,1,0,8,76,0,1
1,1,1,2,1,14,4,2,6,2,2,2,0,0,7,72,1,0
1,1,0,3,1,7,1,1,4,2,0,2,1,0,7,34,0,0
1,1,1,4,1,13,2,1,13,2,1,2,0,3,8,59,0,0
1,1,1,4,1,7,6,2,2,2,3,1,1,2,0,112,1,1
1,1,0,1,1,4,5,1,13,2,2,2,0,0,5,27,0,0
1,1,0,5,1,18,11,2,13,2,2,0,1,0,0,41,0,0
1,1,0,5,1,19,6,2,11,2,3,1,0,0,0,24,0,1
